community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	updated_csc009	updated_csc031	M_LalaDgluMdap_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc031	M_arg__L_e	0.3333333333333333	0.05	1	0.016666666666666666
all	minimal	updated_csc009	updated_csc031	M_glyald_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc031	M_glyc_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc031	M_gua_e	0.3333333333333333	0.05	1	0.016666666666666666
all	minimal	updated_csc009	updated_csc031	M_h2o_e	0.3333333333333333	0.02	1	0.006666666666666666
all	minimal	updated_csc009	updated_csc031	M_h2s_e	0.3333333333333333	0.38	1	0.12666666666666665
all	minimal	updated_csc009	updated_csc031	M_h_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc031	M_hom__L_e	0.3333333333333333	0.03	1	0.009999999999999998
all	minimal	updated_csc009	updated_csc031	M_lys__L_e	0.3333333333333333	0.04	1	0.013333333333333332
all	minimal	updated_csc009	updated_csc031	M_nh4_e	0.3333333333333333	0.07	1	0.023333333333333334
all	minimal	updated_csc009	updated_csc031	M_orn_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc040	M_4abut_e	1.0	0.62	1	0.62
all	minimal	updated_csc009	updated_csc040	M_arg__L_e	1.0	0.05	1	0.05
all	minimal	updated_csc009	updated_csc040	M_asp__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc009	updated_csc040	M_fe3_e	1.0	0.98	1	0.98
all	minimal	updated_csc009	updated_csc040	M_fe3pyovd_kt_e	1.0	0.02	1	0.02
all	minimal	updated_csc009	updated_csc040	M_glu__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc009	updated_csc040	M_glyc_e	1.0	0.01	1	0.01
all	minimal	updated_csc009	updated_csc040	M_gua_e	1.0	0.05	1	0.05
all	minimal	updated_csc009	updated_csc040	M_h2o_e	1.0	0.02	1	0.02
all	minimal	updated_csc009	updated_csc040	M_h2s_e	1.0	0.38	1	0.38
all	minimal	updated_csc009	updated_csc040	M_h_e	1.0	0.01	1	0.01
all	minimal	updated_csc009	updated_csc040	M_hom__L_e	1.0	0.03	1	0.03
all	minimal	updated_csc009	updated_csc040	M_lys__L_e	1.0	0.04	1	0.04
all	minimal	updated_csc009	updated_csc040	M_nh4_e	1.0	0.07	1	0.07
all	minimal	updated_csc009	updated_csc040	M_orn_e	1.0	0.01	1	0.01
all	minimal	updated_csc009	updated_csc040	M_pi_e	1.0	0.11	1	0.11
all	minimal	updated_csc009	updated_csc040	M_pydxn_e	1.0	0.02	1	0.02
all	minimal	updated_csc009	updated_csc040	M_s_e	1.0	0.07	1	0.07
all	minimal	updated_csc009	updated_csc040	M_ser__L_e	1.0	0.06	1	0.06
all	minimal	updated_csc009	updated_csc040	M_urea_e	1.0	0.05	1	0.05
all	minimal	updated_csc009	updated_csc052	M_LalaDgluMdap_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc052	M_arg__L_e	0.3333333333333333	0.05	1	0.016666666666666666
all	minimal	updated_csc009	updated_csc052	M_fe3_e	0.3333333333333333	0.98	1	0.32666666666666666
all	minimal	updated_csc009	updated_csc052	M_glu__L_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc052	M_glyald_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc052	M_glyc_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc052	M_gthrd_e	0.3333333333333333	0.02	1	0.006666666666666666
all	minimal	updated_csc009	updated_csc052	M_h2o_e	0.3333333333333333	0.02	1	0.006666666666666666
all	minimal	updated_csc009	updated_csc052	M_h2s_e	0.3333333333333333	0.38	1	0.12666666666666665
all	minimal	updated_csc009	updated_csc052	M_h_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc052	M_lys__L_e	0.3333333333333333	0.04	1	0.013333333333333332
all	minimal	updated_csc009	updated_csc052	M_nh4_e	0.3333333333333333	0.07	1	0.023333333333333334
all	minimal	updated_csc009	updated_csc052	M_orn_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc052	M_ptrc_e	0.3333333333333333	0.07	1	0.023333333333333334
