Successful queries
Query	BioCyc Common-Name	BioCyc	Kegg	CHEBI	PubChem	HMDB	ChemSpider	Metabolights	MetanetX	BiGG	SEED	InChi
2-(1H-indol-3-yl)ethanamine	CF:C10H12N2	InChI-key:InChiKey=APJYDQYYACXCRM-UHFFFAOYSA-N	anatabine	CPD-20057	C10126	2705	11388	NIL	28475337	NIL	NIL	NIL	NIL
2-AMINOPHENOL	CF:C6H7NO	InChI-key:InChiKey=CDAWCLOXVUBKRW-UHFFFAOYSA-N	2-aminophenol	2-AMINOPHENOL	C01987	18112	5801	NIL	5596	MTBLC18112	MNXM1100	NIL	cpd01360
2-Methylpyrrolidine; CE10; RGHPCLZJAFCTIK-UHFFFAOYSA-N	CF:C5H11N	InChI-key:InChiKey=RGHPCLZJAFCTIK-UHFFFAOYSA-N	cyclopentylamine	CPD-22921	NIL	NIL	2906	NIL	2803	NIL	NIL	NIL	NIL
2`-O-Methylguanosine	CF:C11H15N5O5	InChI-key:InChiKey=OVYNGSFVYRPRCG-KQYNXXCUSA-N	2'-O-methylguanosine	CPD-20407	NIL	19229	135406950	NIL	NIL	NIL	NIL	NIL	NIL
3-METHYLADENINE	CF:C6H7N5	InChI-key:InChiKey=FSASIHFSFGAIJM-UHFFFAOYSA-N	3-methyladenine	3-Methyl-Adenines	C00913	38635	1673	HMDB11600	NIL	MTBLC38635	MNXM6094	NIL	cpd00677
4-(Dimethylamino)pyridine	CF:C7H10N2	InChI-key:InChiKey=VHYFNPMBLIVWCW-UHFFFAOYSA-N	2-pyridylethylamine	CPD-10829	NIL	74024	75919	NIL	14866412	MTBLC74024	MNXM35441	NIL	cpd22836
4-ACETAMIDOPHENOL	CF:nan	InChI-key:InChiKey=nan	acetaminophen	CPD-7669	C06804	46195	1983	HMDB01859	1906	MTBLC46195	MNXM1944	NIL	cpd04176
4-Acetylaminophenylacetic acid	CF:C10H11NO3	InChI-key:InChiKey=MROJXXOCABQVEF-UHFFFAOYSA-N	5,6-dihydrodiol-3-methyl-2-oxo-1,2-dihydroquinoline	CPD-981	C06726	17143	441154	NIL	389944	NIL	MNXM3501	NIL	cpd04113
4-AMINOBENZOIC ACID	CF:nan	InChI-key:InChiKey=nan	4-aminobenzoate	P-AMINO-BENZOATE	C00568	17836	4876	HMDB01392	4710	NIL	MNXM421	4abz	cpd00443
4-GUANIDINOBUTANOATE	CF:C5H11N3O2	InChI-key:InChiKey=TUHVEAJXIMEOSA-UHFFFAOYSA-N	4-guanidinobutanoate	CPD-592	C01035	57486	25200642	HMDB03464	NIL	MTBLC57486	MNXM1312	NIL	cpd00762
5-Aminovaleric acid betaine; CE10; CDLVFVFTRQPQFU-UHFFFAOYSA-N	CF:C8H17NO2	InChI-key:InChiKey=CDLVFVFTRQPQFU-UHFFFAOYSA-N	2-aminocaprylate	CPD-3687	NIL	133660	25200752	HMDB00991	NIL	MTBLC75145	MNXM34877	NIL	cpd24436
Adenine	CF:C5H5N5	InChI-key:InChiKey=GFFGJBXGBJISGV-UHFFFAOYSA-N	adenine	ADENINE	C00147	16708	190	HMDB00034	185	MTBLC16708	NIL	ade	NIL
